venue,symbol,open_time,low,close,volume
Binance,BUSDUSDT,1678917600000,0.996,0.9963,15476302.0
Binance,BUSDUSDT,1678921200000,0.9961,0.9964,7847767.0
Binance,BUSDUSDT,1678924800000,0.9964,0.9965,10807660.0
Binance,BUSDUSDT,1678928400000,0.9963,0.9967,12162784.0
Binance,BUSDUSDT,1678932000000,0.9966,0.997,12668816.0
Binance,BUSDUSDT,1678935600000,0.9968,0.9969,12906989.0
Binance,BUSDUSDT,1678939200000,0.9965,0.9965,15745589.0
Binance,BUSDUSDT,1678942800000,0.9965,0.9969,9037629.0
Binance,BUSDUSDT,1678946400000,0.9968,0.9971,16536298.0
Binance,BUSDUSDT,1678950000000,0.9971,0.9973,21782649.0
Binance,BUSDUSDT,1678953600000,0.9965,0.9971,28638950.0
Binance,BUSDUSDT,1678957200000,0.997,0.9971,19359299.0
Binance,BUSDUSDT,1678960800000,0.997,0.9971,16164092.0
Binance,BUSDUSDT,1678964400000,0.9968,0.9971,18804375.0
Binance,BUSDUSDT,1678968000000,0.9968,0.9969,17587007.0
Binance,BUSDUSDT,1678971600000,0.9968,0.9973,27715706.0
Binance,BUSDUSDT,1678975200000,0.9972,0.9976,31975983.0
Binance,BUSDUSDT,1678978800000,0.9973,0.9981,42323604.0
Binance,BUSDUSDT,1678982400000,0.998,0.9983,25423971.0
Binance,BUSDUSDT,1678986000000,0.9983,0.9983,30665806.0
Binance,BUSDUSDT,1678989600000,0.9977,0.9979,24118669.0
Binance,BUSDUSDT,1678993200000,0.9975,0.998,15048242.0
Binance,BUSDUSDT,1678996800000,0.9978,0.9982,21866526.0
Binance,BUSDUSDT,1679000400000,0.9978,0.9982,12901197.0
Binance,BUSDUSDT,1679004000000,0.9976,0.9979,9003183.0
Binance,BUSDUSDT,1679007600000,0.9978,0.9982,13290662.0
Binance,BUSDUSDT,1679011200000,0.9979,0.9981,9036323.0
